tripinfo_id;tripinfo_depart;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_departDelay;tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_duration;tripinfo_routeLength;tripinfo_waitingTime;tripinfo_waitingCount;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_rerouteNo;tripinfo_devices;tripinfo_vType;tripinfo_speedFactor;tripinfo_vaporized
wu_os_to_ko.0;126.00;-45494495_0;5.10;0.00;0.54;532.00;972103805_0;116.86;11.20;406.00;2045.29;167.00;6;0.00;215.73;0;tripinfo_wu_os_to_ko.0;car;1.03;
wu_os_to_ko.1;159.00;-45494495_0;5.10;0.00;0.31;535.00;972103805_0;116.86;11.10;376.00;2045.29;137.00;5;0.00;187.58;0;tripinfo_wu_os_to_ko.1;car;1.04;
wu_od_to_gg.3;159.00;803785575#0_0;5.10;0.00;2.95;536.00;23156305_0;1264.14;10.43;377.00;3669.96;4.00;1;0.00;36.79;0;tripinfo_wu_od_to_gg.3;car;0.98;
wu_os_to_ko.2;169.00;-45494495_0;5.10;0.00;1.76;537.00;972103805_0;116.86;12.06;368.00;2045.29;125.00;5;0.00;196.28;0;tripinfo_wu_os_to_ko.2;car;1.14;
wu_od_to_kl.2;211.00;803785575#0_0;5.10;0.00;1.49;538.00;28716808#1_0;754.74;9.21;327.00;2678.40;18.00;2;0.00;48.31;0;tripinfo_wu_od_to_kl.2;car;0.87;
wu_os_to_gg.0;239.00;-45494495_0;5.10;0.00;0.62;538.00;23156305_0;1264.14;11.66;299.00;3034.34;0.00;0;0.00;50.74;0;tripinfo_wu_os_to_gg.0;car;1.11;
wu_ba_to_kl.0;340.00;-230845886_0;5.10;0.00;2.37;540.00;28716808#1_0;754.74;9.54;200.00;1727.09;0.00;0;0.00;29.05;0;tripinfo_wu_ba_to_kl.0;car;0.91;
wu_od_to_ko.8;180.00;803785575#0_0;5.10;0.00;0.48;543.00;972103805_0;116.86;9.32;363.00;2307.67;73.00;3;0.00;115.01;0;tripinfo_wu_od_to_ko.8;car;0.88;
wu_as_to_sl.4;211.00;23687583_0;5.10;0.00;4.20;544.00;28706217_0;94.10;8.10;333.00;1976.75;115.00;3;0.00;145.92;0;tripinfo_wu_as_to_sl.4;car;0.98;
wu_as_to_os.8;372.00;23687583_0;5.10;0.00;0.75;546.00;45494495_0;58.90;10.99;174.00;1689.77;8.00;1;0.00;34.41;0;tripinfo_wu_as_to_os.8;car;1.10;
wu_os_to_kl.0;340.00;-45494495_0;5.10;0.00;0.83;547.00;28716808#1_0;754.74;10.15;207.00;2042.78;0.00;0;0.00;25.87;0;tripinfo_wu_os_to_kl.0;car;1.02;
wu_od_to_ba.8;317.00;803785575#0_0;5.10;0.00;8.84;549.00;230845886_0;633.12;12.65;232.00;2382.14;0.00;0;0.00;44.94;0;tripinfo_wu_od_to_ba.8;car;1.15;
